,Measure,Ethnicity,Ethnicity_type,Time,Time_type,Geography,Geography_type,Gender,Age Bracket,NS SEC,Physical Activity Level,Value,Value_type,Denominator (weighted),Numerator (weighted),Upper CI,Lower CI,Number of Respondents (unweighted)
139,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,46.3,%,478,221,52.50%,40.20%,455
140,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,43,%,132,57,55.90%,31.00%,121
141,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,?,%,?,?,?,?,54
142,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,?,%,?,?,?,?,84
143,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,65-74,All,Physically inactive,41.9,%,118,50,53.30%,31.30%,134
144,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,53.6,%,18975,10175,54.60%,52.70%,19429
145,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,53.3,%,17328,9232,54.30%,52.30%,17965
146,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,48.9,%,419,205,55.50%,42.50%,397
147,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,55.4,%,295,164,63.40%,47.20%,219
148,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,70.7,%,183,129,80.50%,58.60%,107
149,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,?,%,?,?,?,?,14
150,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,?,%,?,?,?,?,39
151,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,75+,All,Physically inactive,61.5,%,97,60,76.60%,43.70%,56
152,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,16.5,%,67081,11079,16.90%,16.20%,95199
153,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,15.7,%,53943,8455,16.00%,15.30%,80009
154,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,14.8,%,4006,593,16.10%,13.60%,5493
155,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,25.5,%,4129,1053,27.70%,23.50%,3782
156,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,19.8,%,1192,236,23.20%,16.80%,1222
157,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,21.2,%,524,111,25.90%,17.10%,578
158,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,12,%,972,117,15.00%,9.60%,987
159,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 1-2,Physically inactive,21.7,%,609,132,26.50%,17.50%,643
160,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,24.6,%,45926,11283,25.20%,24.00%,45047
161,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,23.7,%,37576,8887,24.30%,23.00%,39178
162,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,24.8,%,2612,647,27.80%,21.90%,1979
163,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,32.6,%,2553,831,36.20%,29.10%,1421
164,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,30,%,865,259,35.30%,25.20%,579
165,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,39.5,%,265,105,49.10%,30.80%,188
166,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,23,%,514,118,29.60%,17.40%,350
167,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 3-5,Physically inactive,29.2,%,445,130,37.10%,22.40%,280
168,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,31.8,%,27886,8862,32.70%,30.80%,18761
169,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,31,%,21907,6788,32.00%,30.00%,15748
170,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,33.9,%,1911,648,37.80%,30.20%,1082
171,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,39,%,1945,758,43.80%,34.30%,776
172,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,30.4,%,654,199,37.10%,24.40%,301
173,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,46.9,%,142,67,61.70%,32.70%,77
174,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,22.2,%,322,71,30.30%,15.70%,178
175,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 6-7,Physically inactive,31.4,%,348,109,41.40%,22.90%,156
176,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,36.7,%,7486,2745,38.80%,34.60%,4003
177,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,35,%,4542,1590,37.40%,32.60%,2753
178,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,38,%,314,119,50.10%,27.20%,160
179,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,40.4,%,1414,572,46.00%,35.10%,546
180,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,34.6,%,420,145,46.90%,24.00%,162
181,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,?,%,?,?,?,?,24
182,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,?,%,?,?,?,?,75
183,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 8,Physically inactive,41.7,%,252,105,54.50%,29.80%,110
184,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,19.1,%,27202,5186,20.00%,18.20%,14783
185,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,16.5,%,17897,2956,17.40%,15.60%,10510
186,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,15.3,%,1282,197,18.70%,12.50%,737
187,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,23.7,%,3404,808,27.20%,20.60%,1186
188,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,26.4,%,1232,325,31.90%,21.50%,476
189,Percentage of people at each activity level,Chinese,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,28.3,%,412,117,39.20%,19.60%,172
190,Percentage of people at each activity level,Mixed,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,18.2,%,934,170,24.40%,13.30%,337
191,Percentage of people at each activity level,Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16-74,NS SEC 9,Physically inactive,27.2,%,574,156,35.70%,20.10%,245
192,Percentage of people at each activity level,All,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Fairly active,12.4,%,196180,24235,12.60%,12.10%,198911
193,Percentage of people at each activity level,White British,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Fairly active,12.3,%,154220,18915,12.50%,12.00%,167292
194,Percentage of people at each activity level,White Other,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Fairly active,11.2,%,10590,1191,12.20%,10.40%,9898
195,Percentage of people at each activity level,Asian,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Fairly active,13.8,%,13828,1902,14.90%,12.70%,7984
196,Percentage of people at each activity level,Black,"Asian, Black, Chinese, Mixed, White British, White Other, Other",2015/16,Financial year,England,Country,All,16+,All,Fairly active,14.8,%,4613,681,16.80%,12.90%,2910
